"Name","Activity type","Description"
"04/03/2016 09:34","",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.457329","-2.23532","82.69999694824219","0.0","20","0.5625","2016-03-04T09:34:45.650Z","","",""
"1","2","53.457329","-2.23532","82.69999694824219","0.0","20","0.5625","2016-03-04T09:36:48.975Z","","",""
"1","3","53.457335","-2.235328","82.80000305175781","101.0","30","0.125","2016-03-04T09:36:51.433Z","","",""
"1","4","53.457335","-2.235328","82.80000305175781","101.0","15","0.125","2016-03-04T09:39:48.475Z","","",""
"1","5","53.457329","-2.23538","86.0","101.0","15","0.4375","2016-03-04T09:39:49.438Z","","",""
"1","6","53.457332","-2.235454","85.80000305175781","296.0","15","0.4375","2016-03-04T09:39:56.708Z","","",""
"1","7","53.457334","-2.235443","85.69999694824219","286.0","15","0.0625","2016-03-04T09:39:57.416Z","","",""
"1","8","53.457334","-2.235443","85.69999694824219","286.0","15","0.0625","2016-03-04T09:39:57.428Z","","",""
"1","9","53.457332","-2.235416","85.5","289.0","15","0.25","2016-03-04T09:39:58.425Z","","",""
"1","10","53.457332","-2.235416","85.5","289.0","15","0.25","2016-03-04T09:39:58.446Z","","",""
"1","11","53.457338","-2.235415","85.0","286.0","20","0.1875","2016-03-04T09:39:59.438Z","","",""
"1","12","53.457333","-2.235387","84.19999694824219","285.0","15","0.125","2016-03-04T09:40:04.441Z","","",""
"1","13","53.457305","-2.235431","83.0999984741211","285.0","15","0.4375","2016-03-04T09:40:05.439Z","","",""
"1","14","53.4573","-2.235398","82.69999694824219","300.0","20","0.5","2016-03-04T09:40:06.450Z","","",""
"1","15","53.457295","-2.235416","83.0","301.0","15","0.1875","2016-03-04T09:40:07.433Z","","",""
"1","16","53.457287","-2.235399","82.9000015258789","301.0","15","0","2016-03-04T09:40:15.455Z","","",""
"1","17","53.457302","-2.235353","83.0999984741211","313.0","15","0.5","2016-03-04T09:40:16.437Z","","",""
"1","18","53.457302","-2.235353","83.0999984741211","313.0","15","0.5","2016-03-04T09:40:16.462Z","","",""
"1","19","53.457295","-2.235335","83.19999694824219","313.0","15","0.125","2016-03-04T09:40:17.434Z","","",""
"1","20","53.457303","-2.235346","83.30000305175781","313.0","15","0.125","2016-03-04T09:40:18.449Z","","",""
"1","21","53.457303","-2.235368","83.19999694824219","310.0","15","0.875","2016-03-04T09:40:19.438Z","","",""
"1","22","53.457295","-2.235338","83.0999984741211","310.0","15","0.4375","2016-03-04T09:40:20.459Z","","",""
"1","23","53.457284","-2.235299","82.9000015258789","310.0","15","0.0625","2016-03-04T09:40:21.446Z","","",""
"1","24","53.457282","-2.235288","83.0999984741211","310.0","15","0.125","2016-03-04T09:40:22.453Z","","",""
"1","25","53.45729","-2.235289","83.0999984741211","310.0","15","0.375","2016-03-04T09:40:23.442Z","","",""
"1","26","53.45729","-2.235289","83.0999984741211","310.0","15","0.375","2016-03-04T09:40:23.464Z","","",""
"1","27","53.45729","-2.235301","83.0","310.0","15","0.1875","2016-03-04T09:40:24.423Z","","",""
"1","28","53.45729","-2.235301","83.0","310.0","15","0.1875","2016-03-04T09:40:24.442Z","","",""
"1","29","53.457282","-2.235304","83.0","310.0","15","0.4375","2016-03-04T09:40:25.445Z","","",""
"1","30","53.457261","-2.235388","82.80000305175781","221.0","15","0.5625","2016-03-04T09:40:30.487Z","","",""
"1","31","53.457262","-2.235383","82.69999694824219","225.0","15","0.0625","2016-03-04T09:40:31.443Z","","",""
"1","32","53.457262","-2.235383","82.69999694824219","225.0","15","0.0625","2016-03-04T09:40:31.467Z","","",""
"1","33","53.457269","-2.235376","82.80000305175781","222.0","15","0.3125","2016-03-04T09:40:32.435Z","","",""
"1","34","53.457269","-2.235376","82.80000305175781","222.0","15","0.3125","2016-03-04T09:40:32.461Z","","",""
"1","35","53.457278","-2.235379","82.80000305175781","220.0","20","0.1875","2016-03-04T09:40:33.422Z","","",""
"1","36","53.457278","-2.235379","82.80000305175781","220.0","20","0.1875","2016-03-04T09:40:33.450Z","","",""
"1","37","53.457294","-2.235418","82.80000305175781","253.0","20","0.9375","2016-03-04T09:40:34.426Z","","",""
"1","38","53.457274","-2.235286","82.5999984741211","74.0","20","0.4375","2016-03-04T09:40:47.424Z","","",""
"1","39","53.457266","-2.235264","82.69999694824219","88.0","20","1.25","2016-03-04T09:40:48.540Z","","",""
"1","40","53.45727","-2.235284","82.80000305175781","78.0","20","0.5","2016-03-04T09:40:49.463Z","","",""
"1","41","53.457279","-2.235287","83.0999984741211","68.0","20","0.1875","2016-03-04T09:40:50.447Z","","",""
"1","42","53.457277","-2.23532","83.19999694824219","81.0","20","0.5","2016-03-04T09:40:51.407Z","","",""
"1","43","53.457279","-2.235337","83.19999694824219","98.0","25","0.5","2016-03-04T09:40:52.444Z","","",""
"1","44","53.457281","-2.235331","83.30000305175781","105.0","25","0.125","2016-03-04T09:40:53.426Z","","",""
"1","45","53.457281","-2.235309","83.30000305175781","104.0","25","0.3125","2016-03-04T09:40:54.461Z","","",""
"1","46","53.457245","-2.235346","83.30000305175781","154.0","25","0.4375","2016-03-04T09:40:59.460Z","","",""
"1","47","53.457268","-2.235479","83.0","160.0","20","0.4375","2016-03-04T09:41:01.469Z","","",""
"1","48","53.457277","-2.235622","82.80000305175781","261.0","20","0.5625","2016-03-04T09:41:05.453Z","","",""
"1","49","53.457279","-2.235632","82.80000305175781","275.0","20","0.625","2016-03-04T09:41:06.448Z","","",""
"1","50","53.457285","-2.235651","82.80000305175781","298.0","20","0.5","2016-03-04T09:41:08.438Z","","",""
"1","51","53.457281","-2.235648","82.80000305175781","285.0","25","0.125","2016-03-04T09:41:09.696Z","","",""
